user_id,group,arpu_pre,arpu,sessions,page_load_ms
100001,A,203.54,0.0,4,455.4
100002,B,0.0,0.0,6,182.8
100003,A,0.0,0.0,9,538.8
100004,B,43.83,0.0,4,572.6
100005,A,0.0,6.07,5,563.5
100006,B,0.0,0.0,3,416.7
100007,A,18.78,0.0,5,489.0
100008,A,0.0,18.87,6,668.1
100009,A,0.0,0.0,5,399.8
100010,A,0.0,0.0,2,464.3
100011,B,0.0,0.0,5,231.5
100012,B,9.71,0.0,8,349.3
100013,B,70.99,15.64,7,646.1
100014,B,0.0,0.0,4,446.0
100015,B,0.0,0.0,4,287.7
100016,B,36.55,12.5,3,221.5
100017,B,0.0,0.0,3,375.6
100018,A,0.0,0.0,3,451.3
100019,B,0.0,0.0,7,186.0
100020,B,76.66,22.41,5,335.5
100021,B,23.87,34.09,4,481.0
100022,A,0.0,0.0,2,268.9
100023,B,0.0,24.02,5,479.0
100024,B,139.92,0.0,3,678.1
100025,B,0.0,0.0,4,465.7
100026,A,0.0,0.0,10,478.0
100027,A,0.0,0.0,7,252.7
100028,A,0.0,0.0,8,309.2
100029,B,21.83,0.0,7,328.6
100030,B,24.07,0.0,5,420.6
100031,B,19.29,0.0,5,506.1
100032,A,142.43,0.0,7,512.7
100033,A,0.0,0.0,5,205.1
100034,A,0.0,41.81,3,467.2
100035,B,32.36,0.0,6,288.1
100036,B,0.0,79.57,4,494.5
100037,B,20.8,217.47,5,545.5
100038,B,62.45,0.0,2,373.3
100039,A,13.87,0.0,3,313.3
100040,A,65.55,0.0,3,312.3
100041,A,0.0,9.09,2,578.6
100042,A,48.93,0.0,3,581.0
100043,A,0.0,0.0,4,558.4
100044,B,41.83,85.09,5,406.7
100045,A,0.0,17.17,6,561.0
100046,B,0.0,0.0,2,397.6
100047,B,0.0,0.0,7,568.4
100048,B,0.0,0.0,10,476.3
100049,A,0.0,0.0,6,298.4
100050,A,96.87,0.0,7,487.6
100051,B,91.83,23.44,7,366.6
100052,B,0.0,10.64,6,337.3
100053,A,0.0,34.6,2,645.9
100054,B,0.0,0.0,3,552.0
100055,A,38.34,0.0,5,318.6
100056,A,0.0,0.0,3,655.9
100057,A,0.0,0.0,5,347.7
100058,B,24.95,0.0,7,765.7
100059,A,0.0,39.3,3,512.8
100060,B,0.0,0.0,5,665.1
100061,B,0.0,0.0,8,287.3
100062,A,0.0,68.03,7,620.3
100063,A,16.31,32.92,5,458.1
100064,B,0.0,0.0,4,517.1
100065,B,34.47,69.59,5,505.9
100066,B,0.0,0.0,2,525.4
100067,B,0.0,26.28,4,424.0
100068,A,0.0,0.0,7,399.3
100069,A,21.1,12.79,4,410.6
100070,A,52.69,9.18,2,467.4
100071,B,55.52,0.0,2,332.7
100072,A,158.66,0.0,5,468.9
100073,B,0.0,0.0,5,496.6
100074,A,26.02,0.0,4,443.9
100075,A,0.0,24.19,1,489.5
100076,B,5.17,0.0,3,279.8
100077,A,0.0,0.0,3,581.8
100078,A,33.21,0.0,2,546.7
100079,A,0.0,25.02,3,426.1
100080,A,231.15,0.0,4,319.6
100081,A,0.0,38.31,4,569.2
100082,A,0.0,0.0,5,410.4
100083,B,0.0,0.0,3,405.4
100084,B,0.0,0.0,8,373.8
100085,A,0.0,0.0,3,300.1
100086,A,0.0,0.0,4,452.8
100087,A,0.0,7.69,3,428.7
100088,A,0.0,0.0,5,576.9
100089,A,0.0,0.0,7,203.2
100090,A,0.0,0.0,4,412.5
100091,A,45.65,0.0,3,353.8
100092,B,37.17,0.0,6,506.0
100093,A,0.0,0.0,3,497.4
100094,B,0.0,0.0,6,417.9
100095,A,0.0,0.0,6,591.4
100096,B,79.53,0.0,4,823.8
100097,A,16.93,43.56,4,550.7
100098,B,75.88,23.88,7,312.4
100099,B,38.39,18.23,4,272.4
100100,B,0.0,24.7,4,596.6
100101,B,0.0,12.91,10,380.4
100102,B,0.0,11.44,4,269.3
100103,B,0.0,0.0,4,361.9
100104,B,46.44,36.56,6,544.9
100105,A,0.0,172.53,5,308.6
100106,A,0.0,0.0,7,675.5
100107,B,25.98,0.0,5,489.6
100108,A,0.0,0.0,3,503.3
100109,B,0.0,20.29,1,539.1
100110,A,0.0,29.7,4,562.5
100111,B,0.0,15.38,2,1019.6
100112,B,0.0,31.01,11,254.2
100113,B,0.0,0.0,5,270.5
100114,A,0.0,0.0,3,600.9
100115,A,0.0,9.91,4,465.2
100116,A,0.0,76.4,3,297.1
100117,A,0.0,0.0,4,521.0
100118,B,0.0,0.0,3,427.0
100119,A,9.4,0.0,4,364.2
100120,A,0.0,0.0,4,417.9
100121,A,0.0,125.75,4,215.8
100122,A,0.0,9.81,1,435.3
100123,A,0.0,20.85,7,313.9
100124,B,79.41,0.0,4,526.7
100125,B,59.29,0.0,9,318.0
100126,A,0.0,0.0,2,346.5
100127,B,0.0,0.0,6,694.1
100128,B,0.0,0.0,2,396.9
100129,A,0.0,0.0,5,398.0
100130,B,24.49,0.0,4,503.1
100131,A,0.0,0.0,6,394.9
100132,A,0.0,14.22,8,370.2
100133,A,0.0,15.88,7,319.5
100134,B,0.0,26.17,7,575.0
100135,B,0.0,0.0,4,292.8
100136,A,25.95,0.0,4,350.8
100137,A,0.0,0.0,7,478.2
100138,A,0.0,0.0,4,828.2
100139,A,0.0,37.31,5,504.2
100140,B,21.32,0.0,5,431.9
100141,B,0.0,0.0,3,735.1
100142,A,40.72,25.65,3,554.7
100143,B,0.0,52.57,5,934.7
100144,A,0.0,97.51,4,173.6
100145,B,32.77,0.0,5,398.6
100146,A,23.79,0.0,10,333.9
100147,B,0.0,0.0,4,712.8
100148,B,0.0,0.0,7,472.6
100149,A,0.0,0.0,4,595.8
100150,A,0.0,0.0,10,478.9
100151,B,0.0,0.0,4,713.6
100152,A,0.0,0.0,3,360.3
100153,A,0.0,0.0,4,169.3
100154,B,0.0,24.86,4,407.8
100155,A,0.0,88.89,5,292.1
100156,B,49.3,0.0,2,427.6
100157,B,0.0,0.0,5,296.7
100158,B,0.0,0.0,5,255.1
100159,A,0.0,111.39,2,538.8
100160,A,0.0,0.0,4,406.9
100161,B,0.0,0.0,7,313.1
100162,A,0.0,0.0,4,571.3
100163,A,0.0,0.0,7,407.1
100164,A,0.0,138.99,6,775.1
100165,B,28.57,0.0,3,451.7
100166,A,0.0,21.02,6,197.0
100167,B,0.0,0.0,4,155.2
100168,B,0.0,0.0,1,406.8
100169,B,0.0,0.0,4,643.6
100170,B,0.0,0.0,3,270.8
100171,A,22.64,68.54,2,319.1
100172,A,175.24,0.0,7,377.6
100173,B,23.53,0.0,4,334.8
100174,A,0.0,0.0,4,678.0
100175,B,0.0,0.0,6,445.0
100176,B,0.0,0.0,2,393.9
100177,A,56.44,65.21,8,593.6
100178,B,0.0,81.46,3,350.2
100179,B,49.27,13.99,1,436.0
100180,A,0.0,0.0,5,376.4
100181,A,0.0,0.0,5,695.0
100182,A,53.32,21.75,4,528.9
100183,A,28.05,2.24,6,419.6
100184,B,36.84,0.0,3,793.8
100185,A,0.0,26.62,4,529.3
100186,B,0.0,0.0,4,475.9
100187,B,20.45,0.0,7,400.5
100188,A,0.0,0.0,6,446.6
100189,B,96.86,0.0,5,652.8
100190,B,114.95,31.74,4,298.5
100191,B,0.0,0.0,7,549.6
100192,A,0.0,0.0,8,431.1
100193,A,19.26,50.41,6,421.2
100194,A,0.0,0.0,1,575.3
100195,B,0.0,49.3,10,393.6
100196,A,0.0,0.0,5,399.2
100197,B,0.0,0.0,2,295.2
100198,B,0.0,39.15,5,146.4
100199,B,0.0,21.54,4,439.1
100200,B,0.0,0.0,4,506.4
100201,A,0.0,0.0,6,392.3
100202,B,0.0,390.89,2,484.7
100203,B,0.0,0.0,5,595.1
100204,B,26.85,0.0,6,639.7
100205,B,0.0,0.0,2,259.0
100206,A,0.0,83.54,5,253.7
100207,B,25.71,4.04,8,380.2
100208,B,0.0,0.0,5,326.9
100209,A,0.0,0.0,4,192.6
100210,A,0.0,20.01,8,464.8
100211,A,51.57,105.41,4,441.7
100212,A,0.0,0.0,7,607.7
100213,A,0.0,0.0,3,253.5
100214,B,0.0,0.0,5,270.7
100215,A,0.0,88.89,4,458.4
100216,B,0.0,36.18,11,553.9
100217,B,0.0,15.82,2,564.2
100218,B,57.8,0.0,5,583.2
100219,A,47.7,0.0,11,562.4
100220,B,0.0,0.0,3,454.9
100221,B,0.0,143.55,3,422.7
100222,B,0.0,0.0,1,392.0
100223,A,0.0,47.05,6,463.7
100224,A,56.04,0.0,5,602.6
100225,B,0.0,0.0,6,670.3
100226,B,0.0,0.0,4,374.8
100227,A,0.0,45.15,3,366.3
100228,A,0.0,0.0,6,307.8
100229,B,0.0,0.0,3,244.6
100230,B,10.71,0.0,4,435.0
100231,B,0.0,25.09,6,297.9
100232,B,0.0,0.0,7,436.1
100233,A,0.0,53.77,6,393.7
100234,B,128.29,0.0,1,357.3
100235,A,0.0,0.0,3,252.6
100236,A,0.0,0.0,7,328.3
100237,A,0.0,0.0,4,320.7
100238,B,0.0,0.0,7,605.1
100239,A,35.26,21.05,9,354.3
100240,A,0.0,0.0,5,472.9
100241,B,0.0,17.1,9,516.5
100242,A,0.0,0.0,4,418.0
100243,A,0.0,86.93,7,846.8
100244,A,0.0,0.0,3,674.5
100245,A,79.69,34.4,2,416.0
100246,A,0.0,0.0,2,849.9
100247,B,0.0,0.0,4,475.8
100248,A,29.87,33.67,1,387.2
100249,A,0.0,0.0,5,339.7
100250,B,22.4,0.0,5,322.2
100251,A,30.54,41.34,7,477.1
100252,A,0.0,0.0,3,399.9
100253,B,0.0,0.0,5,274.1
100254,B,0.0,0.0,7,492.1
100255,B,0.0,25.74,6,901.2
100256,A,0.0,0.0,4,568.7
100257,B,0.0,0.0,6,482.4
100258,A,0.0,0.0,4,377.6
100259,B,0.0,0.0,4,650.1
100260,B,0.0,0.0,6,359.8
